ID,Age,Gender,Occupation,Phone Type,Current Bike,Relationship,Response
453,45,Female,Self Employed,Low End,No Bike,Committed,Not purchased
454,39,Male ,Unemployed,Low End,Below 125,Single,Not purchased
455,46,Female,Professional,High End,220 and Above,Committed,Not purchased
456,51,Male ,Unemployed,Low End,125 to 180,Married,Purchased
457,59,Male ,Unemployed,High End,125 to 180,Complicated,Not purchased
458,32,Male ,Unemployed,Low End,125 to 180,Single,Not purchased
459,57,Female,Self Employed,High End,125 to 180,Complicated,Not purchased
460,41,Female,Professional,High End,220 and Above,Married,Not purchased
461,47,Female,Unemployed,Low End,125 to 180,Married,Not purchased
462,18,Female,Self Employed,Average,125 to 180,Committed,Purchased
463,26,Male ,Unemployed,High End,180 to 220,Complicated,Not purchased
464,46,Female,Self Employed,High End,Below 125,Married,Not purchased
465,38,Male ,Unemployed,Average,180 to 220,Complicated,Not purchased
466,44,Male ,Self Employed,Low End,220 and Above,Committed,Purchased
467,19,Female,Student,Average,No Bike,Married,Not purchased
468,30,Male ,Unemployed,Low End,No Bike,Married,Purchased
469,25,Female,Self Employed,High End,180 to 220,Single,Not purchased
470,45,Male ,Student,Average,125 to 180,Married,Not purchased
471,31,Female,Student,Average,No Bike,Complicated,Purchased
472,29,Male ,Unemployed,High End,No Bike,Complicated,Purchased
473,60,Male ,Self Employed,Low End,No Bike,Complicated,Not purchased
474,56,Male ,Self Employed,Low End,No Bike,Complicated,Not purchased
475,37,Male ,Self Employed,Low End,180 to 220,Complicated,Purchased
476,42,Male ,Self Employed,Low End,No Bike,Complicated,Not purchased
477,34,Female,Self Employed,Low End,180 to 220,Committed,Purchased
478,32,Male ,Unemployed,Average,125 to 180,Complicated,Purchased
479,28,Male ,Self Employed,Average,180 to 220,Complicated,Not purchased
480,48,Female,Self Employed,High End,Below 125,Single,Not purchased
481,44,Female,Unemployed,Low End,No Bike,Single,Not purchased
482,46,Male ,Self Employed,Low End,180 to 220,Married,Purchased
483,18,Male ,Student,High End,No Bike,Complicated,Purchased
484,21,Female,Unemployed,High End,125 to 180,Complicated,Purchased
485,47,Female,Self Employed,Low End,Below 125,Married,Not purchased
486,20,Male ,Unemployed,High End,220 and Above,Single,Purchased
487,21,Female,Student,Low End,125 to 180,Married,Purchased
488,37,Male ,Professional,High End,Below 125,Married,Not purchased
489,30,Female,Professional,Low End,No Bike,Single,Not purchased
490,26,Male ,Student,Average,180 to 220,Complicated,Not purchased
491,56,Female,Self Employed,Average,Below 125,Committed,Not purchased
492,42,Female,Self Employed,Average,220 and Above,Complicated,Not purchased
493,56,Female,Professional,Average,125 to 180,Single,Not purchased
494,21,Female,Self Employed,Average,180 to 220,Complicated,Not purchased
495,23,Female,Professional,High End,Below 125,Single,Not purchased
496,28,Male ,Self Employed,High End,180 to 220,Complicated,Purchased
497,20,Male ,Student,Average,180 to 220,Committed,Purchased
498,49,Female,Professional,High End,220 and Above,Married,Not purchased
499,41,Male ,Professional,Average,No Bike,Married,Purchased
500,57,Female,Self Employed,Low End,180 to 220,Single,Not purchased
501,36,Male ,Unemployed,Low End,125 to 180,Complicated,Purchased
502,28,Female,Self Employed,High End,220 and Above,Committed,Purchased
503,42,Female,Self Employed,High End,No Bike,Married,Not purchased
504,36,Male ,Self Employed,High End,No Bike,Committed,Purchased
505,40,Male ,Professional,High End,180 to 220,Single,Not purchased
506,21,Male ,Self Employed,Low End,220 and Above,Complicated,Purchased
507,53,Female,Self Employed,High End,Below 125,Committed,Not purchased
508,30,Female,Self Employed,High End,125 to 180,Single,Not purchased
509,33,Male ,Self Employed,Average,125 to 180,Committed,Purchased
510,48,Male ,Self Employed,Low End,220 and Above,Complicated,Not purchased
511,51,Female,Professional,Average,125 to 180,Single,Not purchased
512,42,Female,Self Employed,Average,No Bike,Married,Not purchased
513,44,Female,Unemployed,Average,125 to 180,Complicated,Not purchased
514,41,Female,Unemployed,Low End,Below 125,Committed,Not purchased
515,32,Female,Student,Low End,125 to 180,Complicated,Purchased
516,24,Female,Self Employed,Average,220 and Above,Complicated,Purchased
517,41,Male ,Student,Average,125 to 180,Complicated,Purchased
518,31,Male ,Unemployed,Low End,180 to 220,Single,Not purchased
519,31,Male ,Unemployed,Low End,220 and Above,Married,Purchased
520,32,Female,Professional,High End,Below 125,Complicated,Purchased
521,53,Female,Unemployed,High End,Below 125,Complicated,Not purchased
522,20,Male ,Professional,Low End,180 to 220,Committed,Purchased
523,28,Female,Professional,High End,125 to 180,Married,Not purchased
524,58,Female,Unemployed,Low End,Below 125,Married,Not purchased
525,53,Male ,Self Employed,Average,Below 125,Married,Purchased
526,40,Male ,Professional,Low End,No Bike,Complicated,Not purchased
527,59,Male ,Student,Average,Below 125,Committed,Purchased
528,36,Female,Self Employed,Average,180 to 220,Married,Not purchased
529,29,Female,Self Employed,High End,180 to 220,Committed,Purchased
530,47,Male ,Unemployed,Average,No Bike,Married,Not purchased
531,58,Male ,Self Employed,Average,No Bike,Committed,Not purchased
532,45,Male ,Unemployed,High End,No Bike,Complicated,Purchased
533,23,Male ,Professional,High End,125 to 180,Single,Purchased
534,50,Female,Self Employed,Low End,No Bike,Committed,Not purchased
535,26,Female,Self Employed,High End,Below 125,Single,Not purchased
536,33,Female,Unemployed,Low End,Below 125,Committed,Not purchased
537,59,Male ,Self Employed,High End,180 to 220,Single,Not purchased
538,19,Male ,Self Employed,Low End,Below 125,Committed,Purchased
539,30,Male ,Professional,Low End,Below 125,Married,Not purchased
540,46,Male ,Professional,Low End,No Bike,Single,Not purchased
541,52,Male ,Professional,Low End,180 to 220,Complicated,Not purchased
542,41,Male ,Professional,Low End,180 to 220,Complicated,Purchased
543,56,Male ,Professional,High End,Below 125,Single,Not purchased
544,45,Female,Professional,Average,No Bike,Married,Not purchased
545,32,Female,Student,High End,125 to 180,Complicated,Purchased
546,52,Female,Self Employed,Low End,125 to 180,Single,Not purchased
547,41,Male ,Self Employed,High End,220 and Above,Committed,Purchased
548,59,Male ,Unemployed,Average,125 to 180,Complicated,Purchased
549,22,Male ,Student,High End,Below 125,Committed,Not purchased
550,28,Male ,Professional,Average,220 and Above,Married,Not purchased
551,59,Male ,Professional,High End,Below 125,Complicated,Purchased
552,53,Female,Unemployed,Average,Below 125,Married,Not purchased
553,53,Male ,Unemployed,High End,No Bike,Married,Purchased
554,32,Female,Unemployed,Low End,125 to 180,Complicated,Not purchased
555,23,Male ,Student,High End,180 to 220,Married,Not purchased
556,46,Female,Unemployed,High End,No Bike,Complicated,Not purchased
557,50,Female,Unemployed,Low End,125 to 180,Single,Not purchased
558,39,Female,Unemployed,Low End,220 and Above,Complicated,Not purchased
559,22,Female,Student,High End,180 to 220,Single,Purchased
560,59,Male ,Professional,Low End,125 to 180,Committed,Not purchased
561,44,Female,Self Employed,Low End,Below 125,Married,Not purchased
562,29,Male ,Student,High End,No Bike,Single,Not purchased
563,19,Female,Unemployed,Average,No Bike,Complicated,Not purchased
564,20,Female,Student,High End,220 and Above,Married,Not purchased
565,38,Female,Unemployed,Low End,125 to 180,Married,Not purchased
566,36,Male ,Self Employed,Average,No Bike,Committed,Not purchased
567,56,Male ,Student,High End,180 to 220,Married,Not purchased
568,47,Female,Unemployed,Average,No Bike,Complicated,Not purchased
569,48,Male ,Unemployed,High End,180 to 220,Complicated,Purchased
570,25,Female,Self Employed,High End,125 to 180,Single,Purchased
571,31,Male ,Self Employed,Average,125 to 180,Single,Not purchased
572,50,Male ,Student,High End,180 to 220,Married,Purchased
573,43,Female,Professional,Average,No Bike,Committed,Not purchased
574,21,Female,Student,High End,180 to 220,Single,Purchased
575,20,Male ,Self Employed,Average,Below 125,Single,Purchased
576,43,Female,Professional,Low End,Below 125,Single,Not purchased
577,31,Female,Professional,Low End,No Bike,Single,Purchased
578,53,Female,Self Employed,High End,125 to 180,Complicated,Not purchased
579,43,Male ,Self Employed,Low End,220 and Above,Complicated,Purchased
580,43,Female,Self Employed,Low End,220 and Above,Complicated,Not purchased
581,31,Male ,Professional,Low End,125 to 180,Committed,Purchased
582,31,Male ,Unemployed,Low End,Below 125,Married,Not purchased
583,29,Male ,Self Employed,Average,180 to 220,Committed,Purchased
584,37,Male ,Self Employed,High End,180 to 220,Married,Not purchased
585,47,Male ,Professional,Average,No Bike,Single,Not purchased
586,40,Female,Self Employed,Low End,No Bike,Single,Not purchased
587,26,Male ,Self Employed,Average,Below 125,Complicated,Not purchased
588,36,Male ,Self Employed,High End,125 to 180,Complicated,Not purchased
589,40,Female,Student,High End,220 and Above,Married,Not purchased
590,43,Female,Self Employed,Low End,220 and Above,Complicated,Not purchased
591,39,Female,Unemployed,Average,No Bike,Married,Purchased
592,53,Female,Self Employed,Average,125 to 180,Complicated,Not purchased
593,48,Female,Professional,Average,125 to 180,Single,Not purchased
594,51,Male ,Self Employed,Average,Below 125,Single,Not purchased
595,19,Male ,Professional,Low End,No Bike,Married,Purchased
596,19,Male ,Student,High End,125 to 180,Committed,Purchased
597,46,Female,Professional,Average,Below 125,Complicated,Not purchased
598,50,Female,Unemployed,Low End,No Bike,Married,Not purchased
599,41,Male ,Unemployed,Low End,180 to 220,Complicated,Purchased
600,23,Female,Professional,High End,No Bike,Complicated,Not purchased
601,43,Male ,Self Employed,Low End,No Bike,Complicated,Not purchased
602,33,Male ,Unemployed,High End,220 and Above,Complicated,Purchased
603,23,Female,Unemployed,Low End,Below 125,Committed,Not purchased
604,59,Male ,Student,High End,180 to 220,Single,Purchased
605,26,Male ,Professional,Low End,180 to 220,Single,Not purchased
606,60,Male ,Professional,Average,180 to 220,Married,Not purchased
607,22,Female,Self Employed,Average,220 and Above,Complicated,Purchased
608,59,Male ,Self Employed,High End,125 to 180,Single,Not purchased
609,53,Male ,Self Employed,Average,Below 125,Committed,Purchased
610,30,Male ,Professional,High End,Below 125,Complicated,Purchased
611,29,Female,Self Employed,Average,No Bike,Committed,Purchased
612,38,Male ,Professional,High End,220 and Above,Married,Not purchased
613,45,Male ,Professional,Average,No Bike,Committed,Purchased
614,25,Female,Unemployed,Low End,Below 125,Single,Not purchased
615,60,Female,Self Employed,Average,180 to 220,Single,Not purchased
616,40,Male ,Professional,High End,Below 125,Single,Not purchased
617,57,Male ,Self Employed,High End,Below 125,Single,Not purchased
618,31,Male ,Professional,Low End,220 and Above,Complicated,Purchased
619,53,Male ,Self Employed,Average,No Bike,Single,Purchased
620,18,Male ,Student,Average,220 and Above,Married,Purchased
621,40,Male ,Self Employed,Low End,No Bike,Committed,Not purchased
622,34,Female,Unemployed,Low End,No Bike,Committed,Purchased
623,21,Female,Unemployed,Low End,No Bike,Committed,Purchased
624,51,Male ,Student,High End,220 and Above,Complicated,Purchased
625,24,Female,Professional,High End,180 to 220,Complicated,Not purchased
626,19,Female,Unemployed,Average,No Bike,Complicated,Not purchased
627,37,Female,Student,Low End,220 and Above,Committed,Not purchased
628,23,Female,Professional,High End,125 to 180,Married,Purchased
629,24,Female,Professional,Low End,180 to 220,Committed,Purchased
630,30,Male ,Self Employed,High End,125 to 180,Single,Purchased
631,57,Female,Professional,High End,220 and Above,Single,Not purchased
632,32,Male ,Professional,Low End,No Bike,Single,Purchased
633,18,Female,Professional,Average,Below 125,Single,Purchased
634,20,Female,Professional,Low End,Below 125,Single,Not purchased
635,19,Male ,Student,Average,Below 125,Complicated,Not purchased
636,53,Male ,Unemployed,Low End,Below 125,Complicated,Not purchased
637,30,Male ,Professional,High End,No Bike,Single,Not purchased
638,48,Female,Professional,Average,No Bike,Complicated,Not purchased
639,26,Male ,Self Employed,Low End,No Bike,Single,Not purchased
640,54,Male ,Professional,High End,180 to 220,Complicated,Purchased
641,45,Female,Self Employed,Low End,125 to 180,Complicated,Not purchased
642,34,Female,Unemployed,Average,No Bike,Single,Not purchased
643,49,Male ,Self Employed,Average,220 and Above,Single,Purchased
644,54,Male ,Student,Average,Below 125,Complicated,Purchased
645,45,Female,Self Employed,High End,180 to 220,Married,Not purchased
646,59,Female,Professional,Low End,Below 125,Single,Not purchased
647,53,Male ,Student,High End,220 and Above,Married,Not purchased
648,59,Female,Unemployed,Low End,125 to 180,Married,Not purchased
649,28,Female,Self Employed,Average,Below 125,Single,Not purchased
650,39,Female,Self Employed,Low End,Below 125,Single,Not purchased
651,55,Male ,Student,Average,Below 125,Complicated,Purchased
652,36,Male ,Professional,Low End,Below 125,Complicated,Not purchased
653,42,Male ,Student,High End,220 and Above,Single,Not purchased
654,26,Male ,Self Employed,Low End,125 to 180,Complicated,Not purchased
655,38,Male ,Professional,Low End,Below 125,Married,Not purchased
656,35,Female,Unemployed,Average,Below 125,Single,Purchased
657,41,Female,Self Employed,Average,No Bike,Married,Not purchased
658,21,Male ,Student,Low End,125 to 180,Single,Not purchased
659,47,Female,Unemployed,Low End,125 to 180,Complicated,Not purchased
660,47,Female,Unemployed,Low End,180 to 220,Single,Not purchased
661,48,Female,Self Employed,Average,Below 125,Single,Not purchased
662,46,Male ,Professional,Low End,No Bike,Married,Not purchased
663,24,Female,Unemployed,Low End,No Bike,Complicated,Purchased
664,33,Female,Student,Average,No Bike,Committed,Not purchased
665,59,Male ,Student,High End,125 to 180,Single,Not purchased
666,29,Male ,Unemployed,Average,220 and Above,Complicated,Not purchased
667,33,Male ,Unemployed,Low End,Below 125,Committed,Purchased
668,33,Male ,Professional,Average,No Bike,Married,Not purchased
669,51,Male ,Unemployed,High End,220 and Above,Complicated,Purchased
670,40,Female,Student,Low End,No Bike,Single,Not purchased
671,43,Male ,Student,Average,220 and Above,Complicated,Purchased
672,28,Male ,Unemployed,Average,125 to 180,Complicated,Purchased
673,25,Female,Student,High End,220 and Above,Complicated,Not purchased
674,59,Male ,Professional,Low End,Below 125,Single,Not purchased
675,21,Female,Unemployed,Average,125 to 180,Single,Not purchased
676,32,Male ,Unemployed,Low End,No Bike,Married,Not purchased
677,31,Female,Student,High End,220 and Above,Single,Not purchased
678,24,Male ,Self Employed,High End,125 to 180,Single,Purchased
679,45,Male ,Self Employed,Average,No Bike,Married,Not purchased
680,58,Male ,Unemployed,Low End,220 and Above,Complicated,Not purchased
681,45,Male ,Self Employed,Average,No Bike,Committed,Not purchased
682,37,Female,Student,High End,180 to 220,Married,Not purchased
683,52,Male ,Self Employed,High End,No Bike,Committed,Not purchased
684,33,Female,Professional,Low End,Below 125,Single,Not purchased
685,48,Female,Self Employed,High End,220 and Above,Committed,Not purchased
686,18,Male ,Student,High End,Below 125,Married,Purchased
687,21,Male ,Unemployed,High End,220 and Above,Committed,Purchased
688,26,Female,Student,Low End,Below 125,Complicated,Not purchased
689,20,Male ,Unemployed,Low End,Below 125,Single,Not purchased
690,52,Female,Self Employed,High End,220 and Above,Committed,Not purchased
691,50,Female,Unemployed,Low End,No Bike,Committed,Not purchased
692,46,Female,Professional,Low End,125 to 180,Complicated,Not purchased
693,43,Female,Unemployed,Average,Below 125,Single,Not purchased
694,23,Female,Student,Low End,125 to 180,Complicated,Not purchased
695,40,Female,Self Employed,Low End,125 to 180,Married,Purchased
696,47,Male ,Self Employed,High End,Below 125,Single,Purchased
697,50,Female,Professional,Average,Below 125,Complicated,Not purchased
698,38,Male ,Self Employed,High End,No Bike,Committed,Not purchased
699,47,Female,Self Employed,Low End,No Bike,Married,Not purchased
700,60,Female,Professional,Average,No Bike,Married,Not purchased
701,28,Male ,Self Employed,Low End,125 to 180,Married,Not purchased
702,46,Male ,Unemployed,High End,Below 125,Single,Not purchased
703,48,Male ,Student,Average,No Bike,Committed,Purchased
704,29,Female,Professional,High End,125 to 180,Single,Not purchased
705,57,Female,Professional,High End,No Bike,Committed,Not purchased
706,60,Female,Professional,Average,Below 125,Married,Not purchased
707,51,Male ,Professional,High End,Below 125,Committed,Not purchased
708,37,Male ,Professional,Average,180 to 220,Single,Not purchased
709,41,Female,Professional,Low End,125 to 180,Married,Not purchased
710,36,Male ,Professional,High End,125 to 180,Committed,Purchased
711,44,Female,Professional,Low End,No Bike,Committed,Not purchased
712,40,Male ,Self Employed,Low End,No Bike,Committed,Not purchased
713,18,Male ,Self Employed,High End,220 and Above,Committed,Purchased
714,58,Male ,Unemployed,Average,Below 125,Married,Not purchased
715,24,Female,Unemployed,High End,Below 125,Committed,Purchased
716,41,Female,Unemployed,High End,220 and Above,Married,Not purchased
717,41,Female,Unemployed,Average,Below 125,Single,Not purchased
718,53,Male ,Unemployed,High End,180 to 220,Committed,Not purchased
719,39,Male ,Professional,Average,220 and Above,Single,Purchased
720,19,Male ,Professional,High End,125 to 180,Committed,Not purchased
721,31,Female,Student,High End,220 and Above,Committed,Not purchased
722,44,Male ,Professional,Average,180 to 220,Single,Purchased
723,25,Female,Student,Average,No Bike,Committed,Purchased
724,52,Male ,Professional,High End,Below 125,Complicated,Purchased
725,28,Female,Student,High End,No Bike,Committed,Purchased
726,24,Female,Unemployed,Low End,Below 125,Complicated,Purchased
727,43,Male ,Student,Average,125 to 180,Complicated,Purchased
728,40,Female,Self Employed,Low End,180 to 220,Single,Not purchased
729,27,Female,Unemployed,Average,180 to 220,Committed,Not purchased
730,55,Female,Professional,Average,125 to 180,Married,Not purchased
731,20,Female,Student,Low End,No Bike,Single,Not purchased
732,60,Female,Unemployed,High End,125 to 180,Married,Not purchased
733,24,Female,Professional,Low End,Below 125,Committed,Purchased
734,50,Female,Professional,Average,No Bike,Complicated,Not purchased
735,33,Male ,Self Employed,Average,Below 125,Complicated,Not purchased
736,37,Male ,Unemployed,Average,220 and Above,Committed,Not purchased
737,37,Female,Professional,Low End,220 and Above,Married,Purchased
738,32,Female,Unemployed,High End,220 and Above,Complicated,Not purchased
739,33,Female,Unemployed,Low End,Below 125,Married,Not purchased
740,58,Male ,Unemployed,Average,180 to 220,Complicated,Purchased
741,58,Male ,Self Employed,High End,125 to 180,Committed,Not purchased
742,34,Male ,Unemployed,Low End,Below 125,Single,Purchased
743,43,Male ,Professional,Low End,No Bike,Committed,Not purchased
744,21,Female,Self Employed,Low End,180 to 220,Complicated,Purchased
745,59,Female,Self Employed,Average,180 to 220,Complicated,Not purchased
746,31,Female,Student,High End,Below 125,Single,Not purchased
747,21,Female,Self Employed,Average,125 to 180,Complicated,Not purchased
748,18,Male ,Self Employed,Low End,220 and Above,Complicated,Not purchased
749,32,Male ,Professional,High End,180 to 220,Committed,Not purchased
750,45,Male ,Self Employed,Low End,No Bike,Married,Not purchased
751,24,Female,Self Employed,Average,No Bike,Married,Purchased
752,55,Male ,Self Employed,High End,Below 125,Committed,Purchased
753,46,Male ,Professional,High End,No Bike,Single,Purchased
754,31,Female,Self Employed,Low End,220 and Above,Single,Not purchased
755,18,Male ,Student,High End,125 to 180,Complicated,Not purchased
756,38,Male ,Unemployed,Average,220 and Above,Married,Not purchased
757,37,Female,Professional,High End,No Bike,Married,Not purchased
758,47,Female,Unemployed,Average,125 to 180,Single,Not purchased
759,21,Female,Self Employed,Average,Below 125,Single,Purchased
760,57,Female,Professional,High End,Below 125,Married,Not purchased
761,19,Female,Unemployed,High End,No Bike,Committed,Purchased
762,54,Female,Self Employed,High End,Below 125,Complicated,Not purchased
763,34,Male ,Professional,Low End,Below 125,Single,Purchased
764,27,Male ,Unemployed,High End,125 to 180,Single,Purchased
765,24,Male ,Professional,Average,No Bike,Committed,Not purchased
766,55,Male ,Professional,Low End,125 to 180,Committed,Not purchased
767,40,Female,Self Employed,Low End,180 to 220,Complicated,Not purchased
768,47,Male ,Student,Average,220 and Above,Single,Purchased
769,49,Female,Professional,Average,Below 125,Married,Not purchased
770,30,Male ,Professional,Average,125 to 180,Married,Not purchased
771,52,Male ,Professional,Low End,125 to 180,Married,Not purchased
772,28,Male ,Professional,Low End,125 to 180,Married,Purchased
773,39,Female,Unemployed,Average,125 to 180,Single,Purchased
774,25,Female,Professional,High End,Below 125,Single,Not purchased
775,60,Male ,Self Employed,Average,No Bike,Single,Not purchased
776,38,Female,Professional,High End,180 to 220,Single,Not purchased
777,27,Female,Self Employed,Average,No Bike,Married,Not purchased
778,42,Female,Professional,Average,Below 125,Married,Not purchased
779,48,Female,Unemployed,High End,180 to 220,Complicated,Not purchased
780,44,Female,Professional,High End,Below 125,Married,Not purchased
781,54,Female,Professional,Low End,220 and Above,Married,Not purchased
782,24,Female,Student,High End,180 to 220,Married,Purchased
783,38,Male ,Self Employed,High End,220 and Above,Single,Not purchased
784,19,Male ,Self Employed,Low End,220 and Above,Married,Purchased
785,24,Male ,Student,Low End,220 and Above,Committed,Purchased
786,56,Male ,Student,Average,125 to 180,Single,Not purchased
787,30,Male ,Unemployed,Low End,125 to 180,Married,Not purchased
788,27,Female,Student,Low End,No Bike,Committed,Purchased
789,39,Female,Student,Average,125 to 180,Single,Purchased
790,48,Male ,Student,Average,180 to 220,Married,Not purchased
791,32,Female,Unemployed,Low End,180 to 220,Single,Not purchased
792,46,Male ,Self Employed,High End,No Bike,Single,Not purchased
793,47,Female,Unemployed,Average,No Bike,Single,Not purchased
794,41,Female,Professional,Average,Below 125,Complicated,Not purchased
795,30,Male ,Self Employed,Low End,220 and Above,Committed,Purchased
796,44,Male ,Student,High End,220 and Above,Complicated,Purchased
797,34,Female,Professional,Low End,125 to 180,Complicated,Purchased
798,32,Female,Unemployed,Average,Below 125,Committed,Not purchased
799,39,Male ,Self Employed,High End,125 to 180,Married,Purchased
800,47,Female,Self Employed,High End,125 to 180,Single,Not purchased
801,32,Female,Self Employed,Low End,180 to 220,Married,Not purchased
802,60,Female,Professional,High End,Below 125,Married,Not purchased
803,38,Female,Unemployed,Low End,Below 125,Married,Not purchased
804,51,Male ,Self Employed,High End,Below 125,Committed,Purchased
805,49,Female,Unemployed,Low End,180 to 220,Committed,Not purchased
806,54,Female,Unemployed,High End,Below 125,Committed,Not purchased
807,24,Male ,Professional,High End,Below 125,Committed,Not purchased
808,58,Male ,Professional,High End,Below 125,Committed,Not purchased
809,55,Male ,Unemployed,Low End,180 to 220,Committed,Not purchased
810,34,Male ,Self Employed,High End,180 to 220,Committed,Purchased
811,35,Male ,Unemployed,Low End,No Bike,Complicated,Purchased
812,50,Male ,Unemployed,High End,Below 125,Complicated,Not purchased
813,33,Male ,Self Employed,Low End,Below 125,Committed,Purchased
814,24,Male ,Unemployed,High End,220 and Above,Committed,Purchased
815,47,Male ,Unemployed,Low End,No Bike,Complicated,Not purchased
816,18,Male ,Student,Low End,No Bike,Married,Not purchased
817,32,Male ,Self Employed,Low End,220 and Above,Complicated,Not purchased
818,38,Male ,Self Employed,High End,180 to 220,Committed,Not purchased
819,31,Female,Unemployed,High End,125 to 180,Single,Purchased
820,21,Female,Self Employed,Low End,180 to 220,Complicated,Purchased
821,33,Female,Student,Low End,No Bike,Married,Purchased
822,38,Male ,Self Employed,High End,Below 125,Complicated,Not purchased
823,31,Male ,Professional,Low End,180 to 220,Complicated,Not purchased
824,50,Male ,Professional,Average,220 and Above,Complicated,Not purchased
825,50,Female,Self Employed,High End,125 to 180,Married,Not purchased
826,23,Female,Student,Average,220 and Above,Committed,Purchased
827,41,Male ,Self Employed,Low End,180 to 220,Complicated,Purchased
828,44,Female,Self Employed,High End,No Bike,Committed,Not purchased
829,43,Female,Self Employed,Average,125 to 180,Married,Not purchased
830,20,Female,Self Employed,Low End,125 to 180,Committed,Purchased
831,21,Male ,Self Employed,Average,Below 125,Committed,Not purchased
832,45,Male ,Student,Low End,180 to 220,Married,Purchased
833,33,Female,Professional,Average,180 to 220,Committed,Not purchased
834,41,Female,Self Employed,Average,Below 125,Married,Not purchased
835,51,Female,Professional,Average,220 and Above,Complicated,Not purchased
836,25,Male ,Student,Low End,220 and Above,Complicated,Purchased
837,23,Male ,Professional,Average,No Bike,Committed,Not purchased
838,29,Female,Self Employed,Low End,125 to 180,Complicated,Not purchased
839,38,Male ,Self Employed,High End,125 to 180,Committed,Not purchased
840,23,Male ,Professional,High End,No Bike,Committed,Purchased
841,51,Male ,Student,High End,No Bike,Single,Purchased
842,58,Female,Professional,Average,180 to 220,Single,Not purchased
843,38,Male ,Self Employed,High End,125 to 180,Married,Not purchased
844,26,Male ,Professional,Average,Below 125,Single,Purchased
845,39,Male ,Self Employed,Average,Below 125,Committed,Not purchased
846,43,Male ,Professional,Low End,125 to 180,Committed,Not purchased
847,26,Male ,Student,Low End,125 to 180,Complicated,Purchased
848,52,Male ,Professional,Average,125 to 180,Complicated,Not purchased
849,36,Male ,Unemployed,Average,Below 125,Single,Not purchased
850,40,Male ,Professional,Average,180 to 220,Committed,Purchased
851,42,Female,Professional,Low End,180 to 220,Single,Not purchased
852,41,Female,Professional,Low End,No Bike,Committed,Not purchased
853,34,Male ,Self Employed,Average,220 and Above,Complicated,Purchased
854,28,Male ,Self Employed,High End,125 to 180,Committed,Purchased
855,52,Female,Professional,Average,125 to 180,Committed,Not purchased
856,60,Female,Self Employed,Average,Below 125,Married,Not purchased
857,28,Male ,Professional,Low End,125 to 180,Complicated,Purchased
858,37,Female,Professional,Low End,No Bike,Single,Not purchased
859,35,Female,Student,High End,No Bike,Married,Not purchased
860,32,Female,Unemployed,Average,220 and Above,Single,Purchased
861,49,Male ,Unemployed,Average,No Bike,Single,Purchased
862,51,Male ,Self Employed,Average,125 to 180,Single,Purchased
863,38,Female,Unemployed,High End,125 to 180,Committed,Purchased
864,34,Female,Student,Average,220 and Above,Committed,Not purchased
865,36,Male ,Unemployed,Average,Below 125,Complicated,Not purchased
866,20,Female,Unemployed,Average,No Bike,Complicated,Not purchased
867,40,Female,Professional,Average,No Bike,Committed,Purchased
868,19,Female,Unemployed,High End,180 to 220,Married,Not purchased
869,58,Male ,Unemployed,Low End,180 to 220,Married,Purchased
870,31,Male ,Professional,Low End,125 to 180,Committed,Not purchased
871,37,Female,Student,Average,125 to 180,Complicated,Purchased
872,29,Female,Student,High End,Below 125,Single,Purchased
873,29,Female,Student,Average,Below 125,Complicated,Not purchased
874,23,Male ,Self Employed,Low End,Below 125,Committed,Purchased
875,49,Female,Professional,Average,220 and Above,Committed,Not purchased
876,49,Male ,Self Employed,High End,220 and Above,Single,Not purchased
877,27,Male ,Unemployed,Average,180 to 220,Committed,Purchased
878,27,Female,Self Employed,Average,Below 125,Single,Purchased
879,25,Male ,Student,Average,180 to 220,Complicated,Purchased
880,34,Male ,Self Employed,High End,No Bike,Committed,Not purchased
881,22,Female,Professional,Low End,180 to 220,Complicated,Purchased
882,41,Male ,Self Employed,High End,Below 125,Committed,Not purchased
883,50,Male ,Unemployed,High End,Below 125,Single,Purchased
884,18,Male ,Student,Average,125 to 180,Single,Not purchased
885,22,Male ,Unemployed,High End,125 to 180,Committed,Not purchased
886,48,Female,Unemployed,Low End,Below 125,Committed,Not purchased
887,60,Male ,Self Employed,Average,Below 125,Committed,Purchased
888,50,Female,Unemployed,Low End,220 and Above,Single,Not purchased
889,22,Male ,Unemployed,Low End,220 and Above,Married,Not purchased
890,55,Female,Self Employed,Average,Below 125,Complicated,Not purchased
891,47,Female,Self Employed,High End,Below 125,Committed,Not purchased
892,41,Male ,Self Employed,High End,Below 125,Married,Purchased
893,42,Male ,Self Employed,Low End,180 to 220,Complicated,Not purchased
894,40,Male ,Unemployed,Average,No Bike,Committed,Not purchased
895,35,Female,Unemployed,Low End,220 and Above,Married,Purchased
896,28,Male ,Student,High End,180 to 220,Complicated,Purchased
897,23,Female,Student,High End,125 to 180,Single,Purchased
898,42,Male ,Professional,Average,125 to 180,Complicated,Not purchased
899,34,Female,Self Employed,Average,220 and Above,Committed,Not purchased
900,24,Female,Unemployed,Low End,180 to 220,Single,Purchased
901,29,Female,Self Employed,Low End,220 and Above,Committed,Purchased
902,35,Male ,Unemployed,Average,180 to 220,Complicated,Not purchased
903,25,Female,Professional,Average,No Bike,Complicated,Not purchased
904,22,Male ,Student,High End,125 to 180,Married,Not purchased
905,59,Male ,Professional,High End,Below 125,Complicated,Purchased
